danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,cluster
0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,1KGi9sZVMeszgZOWivFpxs,214400,4,3
0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,7tqhbajSfrz2F7E1Z75ASX,151667,4,2
0.805,0.602,0,-9.7,0,0.0579,0.119,0.000122,0.0581,0.744,94.382,3VZmChrnVW8JK6ano4gSED,238600,4,0
0.55,0.611,3,-10.657,1,0.0443,0.0392,0,0.0631,0.626,168.512,0jHkgTtTaqg5LNCiYDQPUB,290960,4,6
0.576,0.793,3,-4.016,0,0.0294,0.025,0,0.155,0.257,111.965,1QDvX3Oa7xM0So8P7qYqVN,240720,4,6
0.645,0.676,4,-5.281,0,0.0279,0.0174,0,0.181,0.167,112.035,6uxYepovVn4t8kH8KSag5q,236120,4,0
0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,003vvx7Niy0yvhvHt4a68B,222973,4,6
0.497,0.97,10,-4.851,0,0.0836,9.04E-05,0.000674,0.101,0.689,138.081,6PwjJ58I4t7Mae9xfZ9l9v,197200,4,3
0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,1mea3bSkSGXuIRvnydlB5b,242373,4,0
0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,70LcF31zb1H0PyJoS1Sx1r,238640,4,10
0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,3QmesrvdbPjwf7i40nht1D,250907,4,9
0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,34KTEhpPjq6IAgQg2yzJAL,329733,4,6
0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,3CeYdUfGPCjKMDYyI1PpCh,255373,4,6
0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59E-06,0.346,0.73,96.184,10Nmj3JCNoMeBQ87uw5j8k,282160,4,6
0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71E-06,0.091,0.781,85.064,6L89mwZXSOwYl76YXfX13s,181533,4,2
0.423,0.714,11,-8.295,1,0.045,0.00113,6.28E-06,0.0855,0.593,110.017,1AdYZ6X00nXmO613Y7GJOl,227250,4,6
0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4LJhJ6DQS7NwE7UKtvcM52,148360,4,6
0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,6ihL9TjfRjadfEePzXXyVF,213107,4,2
0.465,0.954,10,-4.251,1,0.044,0.000346,5.38E-06,0.573,0.458,143.85,5lDriBxJd22IhOH9zTcFrV,193653,4,1
0.518,0.916,3,-3.858,1,0.0454,0.000148,0,0.291,0.646,109.864,2l57cfmCnOkwNX1tky02n1,238880,4,6
0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,7j31rVgGX9Q2blT92VBEA0,161920,4,2
0.225,0.948,9,-2.945,1,0.136,0.00718,0,0.25,0.239,179.634,14mqKOS4dHMf48spDuzfYv,188187,4,6
0.685,0.803,2,-4.251,1,0.156,0.0601,0,0.546,0.799,107.005,7dyluIqv7QYVTXXZiMWPHW,205280,4,1
0.58,0.702,4,-5.565,1,0.0337,0.0466,3.20E-06,0.536,0.299,105.076,57BrRMwf9LrcmuOsyGilwr,208960,4,1
0.392,0.964,10,-4.441,0,0.0644,7.13E-05,0.0387,0.106,0.269,167.024,0faXHILILebCGnJBPU6KJJ,200547,4,6
0.794,0.811,6,-8.966,0,0.038,0.0426,1.07E-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413,4,3
0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,0DiWol3AO6WpXZgp0goxAV,320357,4,6
0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,2cGxRwrMyEAp8dEbuZaVv6,337560,4,8
0.812,0.516,9,-6.963,1,0.224,0.000369,1.09E-05,0.0991,0.633,127.498,1iNeZGJsoC0D7ZyJTdIbDS,284280,4,10
0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,47BBI51FKFwOMlIiX6m8ya,213307,4,0
0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,1Je1IMUlBXcx1Fz0WE7oPT,173027,4,2
0.731,0.853,10,-4.219,0,0.0363,0.0352,0,0.268,0.605,108.016,1di1BEgJYzPvXUuinsYJGP,225360,4,3
0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,4BggEwLhGfrbrl7JBhC8EC,216733,4,3
0.741,0.894,4,-3.826,1,0.0496,0.0814,0.0527,0.089,0.96,114.879,2Cy7QY8HPLk925AyNAt6OG,202853,4,2
0.609,0.923,9,-3.908,1,0.0338,0.16,4.73E-06,0.295,0.961,115.996,0n2SEXB2qoRQg171q7XqeW,294987,4,2
0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,3XKIUb7HzIF1Vu9usunMzc,261973,4,2
0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,7H6ev70Weq6DdpZyyTmUXk,271333,4,3
0.425,0.954,1,-3.756,0,0.0476,0.00414,0,0.0555,0.933,178.043,0Ph6L4l8dYUuXFmb71Ajnd,243160,4,6
0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,225xvV8r1yKMHErSWivnow,298760,4,6
0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,62bOmKYxYg7dhrC6gH9vFn,200400,4,3
0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,27AHAtAirQapVldIm4c9ZX,195107,4,10
0.392,0.965,10,-4.441,0,0.063,6.97E-05,0.0427,0.106,0.298,167.094,5pvJ59i7JxylN8VB24xdMs,200547,4,6
0.68,0.846,8,-5.252,1,0.054,0.000753,2.35E-05,0.144,0.926,89.962,7dQvzryAP8DrGuhG5KFF5h,277853,4,2
0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06E-06,0.242,0.296,94.612,0COqiPhxzoWICwFCS4eZcp,235893,4,6
0.212,0.924,7,-3.349,0,0.135,0.000729,2.23E-06,0.0831,0.244,162.128,3iWlbqAaoIR7H7gyO3a6rV,348387,4,6
0.949,0.79,8,-5.957,1,0.0756,0.00437,0,0.0816,0.807,117.002,4NOZ35Dhucr6UlVyLOtktd,246053,4,2
0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,4EWCNWgDS8707fNSZ1oaA5,211000,4,3
0.594,0.874,0,-3.716,1,0.0815,0.0116,0,0.549,0.628,119.964,3a9dUZcUd6vcUHnYFbfBcq,196413,4,1
0.839,0.804,1,-2.513,1,0.0329,0.0192,0,0.331,0.888,122.973,6k1xBDOTZfFw7E9Pmlq8rB,239987,4,2
0.66,0.666,9,-4.342,1,0.0472,0.0759,0,0.0268,0.933,89.975,1HwpWwa6bnqqRhK8agG4RS,214227,4,2
0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,4w1lzcaoZ1IC2K5TwjalRP,237493,4,6
0.657,0.588,8,-6.005,1,0.0272,0.0252,0,0.0884,0.105,118.021,6c1crbUBeSMufP7rog1ZPx,184880,4,10
0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,0j2T0R9dR9qdJYsB7ciXhf,311867,4,0
0.939,0.742,5,-5.171,0,0.0467,0.321,0,0.107,0.924,118.978,2kQuhkFX7uSVepCD3h29g5,212360,4,3
0.597,0.517,0,-6.963,1,0.366,0.179,0,0.307,0.413,92.035,0oJMv049q8hEkes9w0L1J4,257560,4,7
0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,5A6OHHy73AR5tLxgTc98zz,217667,4,3
0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,7lWUJpax919G4JdaFEVmCy,172053,4,2
0.784,0.757,8,-3.912,1,0.0384,0.495,1.18E-06,0.142,0.587,104.996,1YMBg7rOjxzbya0fPOYfNX,198286,4,2
0.854,0.674,11,-4.896,1,0.0705,0.0204,0,0.101,0.818,125.845,6A5NlmBCsCGbJ27jHQgKV5,210800,4,2
0.733,0.664,8,-6.163,1,0.295,0.102,0,0.191,0.557,148.005,3iL2l5gUqyPS6vDwJFgJTR,288133,4,7
0.415,0.926,5,-1.304,0,0.374,0.253,0,0.256,0.542,158.423,6HSqyfGnsHYw9MmIpa9zlZ,357347,4,6
0.549,0.932,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82.439,5uHYcK0nbEYgRaFTY5BqnP,196133,4,3
0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,6OEolOOk9Gh9bqkdpfIOl0,215747,4,6
0.545,0.781,10,-3.616,1,0.185,0.0139,0,0.161,0.277,150.097,12PNcnMsjsZ3eHm62t8hiy,232507,4,6
0.666,0.899,8,-4.676,1,0.028,0.00155,0,0.0677,0.629,122.05,1CdqVF1ywD0ZO1zXtB9yWa,186267,4,2
0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29E-05,0.382,0.493,142.027,5YJtMNWKe55yr49cyJgxva,197124,4,6
0.906,0.583,8,-7.721,0,0.317,0.0569,0,0.126,0.829,129.056,1D066zixBwqFYqBhKgdPzp,292373,4,3
0.435,0.837,3,-8.126,1,0.449,0.00676,0,0.117,0.778,124.913,5AyL2kgLtTWEu3qO3B9SqK,216893,4,7
0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,3yfqSUWxFvZELEM4PmlwIR,284200,4,3
0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,2N5zMZX7YeL1tico8oQxa9,182066,4,2
0.676,0.695,0,-8.327,1,0.245,0.352,0,0.119,0.144,90.268,5zpDHEU12zATwLGvozxPw2,303813,4,10
0.781,0.745,4,-5.81,0,0.0332,0.198,1.14E-05,0.36,0.326,129.998,1bM50INir8voAkVoKuvEUI,269493,4,0
0.714,0.833,5,-5.239,1,0.0259,0.00249,0,0.298,0.663,129.964,3rLIv187BhjyweFe89SgLn,220920,4,2
0.693,0.549,1,-8.141,1,0.119,0.0109,0,0.0677,0.605,80.028,1tkMs9wDPknQ3ZHcKDw1ES,227960,4,10
0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,0I3q5fE6wg7LIfHGngUTnV,270507,4,3
0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,7w87IxuO7BDcJ3YUqCyMTT,239600,4,3
0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,49FYlytm3dAAraYgpoJZux,275987,4,6
0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83E-06,0.396,0.732,71.515,1L5tZi0izXsi5Kk5OJf4W0,213760,4,2
0.618,0.955,4,-3.836,1,0.0798,0.00221,3.09E-06,0.486,0.79,150.034,5619Ojc6t9evEEs3B7Drhe,179947,4,1
0.72,0.607,1,-4.168,1,0.0322,0.0543,0,0.113,0.828,121.223,4vVTI94F9uJ8lHNDWKv0i2,201947,4,2
0.81,0.755,0,-6.408,1,0.199,0.291,0,0.0857,0.625,130.991,4KTtYhxFtFL7mBwnjkKfLm,246573,4,2
0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,7BqBn9nzAq8spo5e7cZ0dJ,220734,4,2
0.767,0.677,11,-6.128,0,0.184,0.0339,5.51E-06,0.144,0.538,146.155,3hsmbFKT5Cujb5GQjqEU39,222587,4,3
0.705,0.911,2,-4.873,1,0.0717,0.00592,0.00154,0.0603,0.803,113.032,1dDNz8h95Gsu0W4QdxVVln,245080,4,2
0.395,0.922,1,-2.176,1,0.375,0.19,0,0.134,0.558,162.361,3QLjDkgLh9AOEHlhQtDuhs,257690,4,6
0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,1kxeWHF9PrCVZHvVskv8lg,270307,4,8
0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13E-05,0.082,0.762,145.999,6eDApnV9Jdb1nYahOlbbUh,215867,4,3
0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,59dLtGBS26x7kc0rHbaPrq,268320,4,2
0.704,0.81,4,-4.874,0,0.0425,0.000315,0,0.216,0.726,102.98,6KBYk8OFtod7brGuZ3Y67q,216200,4,3
0.566,0.815,9,-4.481,0,0.14,0.0737,0,0.12,0.672,169.961,5cY8y2XgOfkAh4kSWLFKkz,185587,4,3
0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,4xkOaSrkexMciUUogZKVTS,297787,4,6
0.697,0.474,9,-6.663,1,0.0351,0.603,0,0.11,0.249,127.904,0rFOs9paloAvEtzwDX1Kmc,196280,4,9
0.694,0.702,9,-5.477,1,0.0946,0.123,0,0.0758,0.308,79.959,5rxPi0MiR4miNK0rCmk980,212067,4,10
0.782,0.713,0,-6.576,0,0.0899,0.0619,0.00125,0.108,0.68,159.839,2c8sgbZoEanC3QyFNZxUcA,218947,4,3
0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,06KyNuuMOX1ROXRhj787tj,217707,4,0
0.362,0.268,6,-7.757,0,0.0399,0.909,0,0.15,0.394,81.912,5QLAHKawoQwVRNf1waaVW7,243160,4,9
0.558,0.766,6,-5.953,0,0.231,0.263,0,0.32,0.182,96.281,3qk4wRMDlaeagZGjSYbsOV,203960,4,0
0.745,0.666,9,-5.899,1,0.0566,0.159,0,0.302,0.708,129.995,67D9O4Oau629qirRXtTWCS,241933,4,2
0.662,0.693,3,-4.298,1,0.0698,0.134,0,0.145,0.655,86.009,5Lgcn7u07bHuqbOtXkN62u,252120,4,2
0.4,0.915,0,-4.89,1,0.28,0.0846,0,0.0503,0.878,88.917,2a1o6ZejUi8U3wzzOtCOYw,198773,3,2
0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093,4,3
0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,2yAVzRiEQooPEJ9SYx11L3,283748,4,3
0.939,0.742,5,-5.171,0,0.0467,0.321,0,0.107,0.924,118.978,2kQuhkFX7uSVepCD3h29g5,212360,4,3
0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,0HPD5WQqrq7wPWR7P7Dw1i,199693,4,3
0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,0qOnSQQF0yzuPWsXrQ9paz,210960,4,2
0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,1PS1QMdUqOal0ai3Gt7sDQ,207627,4,7
0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,2PpruBYCo4H7WOBJ7Q2EwM,235213,4,3
0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,7iL6o9tox1zgHpKUfh9vuC,193467,4,3
0.781,0.853,1,-3.68,0,0.0715,0.0525,0,0.12,0.624,110.049,48RrDBpOSSl1aLVCalGl5C,250189,4,3
0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,1DIXPcTDzTj8ZMHt3PDt8p,240693,4,10
0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,6mz1fBdKATx6qP4oP1I65G,251733,4,3
0.772,0.65,6,-5.202,0,0.0306,0.107,1.13E-06,0.0905,0.262,125.083,3wPPWcVuinAU7dXcJXtCID,222200,4,0
0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,5LxvwujISqiB8vpRYv887S,176333,4,9
0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71E-06,0.102,0.583,116.012,3XVozq1aeqsJwpXrEZrDJ9,254467,4,2
0.658,0.762,10,-3.028,0,0.0425,0.263,0,0.127,0.823,163.864,7hCNBVRhHzcsRAv0TQnOzq,148448,4,3
0.65,0.306,9,-9.443,1,0.0393,0.57,7.07E-06,0.0707,0.605,118.068,3SdTKo2uVsxFblQjpScoHy,180056,4,9
0.671,0.373,9,-18.064,1,0.0323,0.257,8.01E-05,0.0481,0.732,92.718,2374M0fQpWi3dLnB54qaLX,295893,4,9
0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,5T8EDUDqKcs6OSOwEsfqG7,209413,4,1
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L,225280,4,3
0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,5ubvP9oKmxLUVq506fgLhk,285373,4,3
0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,0ikz6tENMONtK6qGkOrU3c,231333,4,2
0.583,0.602,11,-6.364,1,0.0274,0.368,0,0.22,0.388,74.008,36lkJSDyMEZoWTqtRj8Q8q,229240,4,10
0.818,0.692,0,-8.79,1,0.0529,0.357,9.42E-06,0.127,0.934,139.695,79Dl8iYn0PFQG2wqDxPlQU,276413,4,2
0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,1c8gk2PeTE04A1pIDH9YMk,228093,4,2
0.378,0.896,2,-4.066,1,0.0407,0.000452,0,0.194,0.469,174.302,5qqabIl2vWzo9ApSC317sa,258773,4,6
0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,386RUes7n1uM1yfzgeUuwp,189109,4,3
0.426,0.408,3,-9.419,1,0.0524,0.771,7.88E-06,0.394,0.528,76.309,41CgzGD7xlgnJe14R4cqkL,204712,4,9
0.745,0.481,2,-8.291,1,0.054,0.302,3.67E-06,0.0808,0.229,137.001,732Sqj2piYPhdMPENP4axz,224449,4,10
0.754,0.449,7,-9.211,1,0.109,0.0332,8.29E-05,0.552,0.357,77.169,6DCZcSspjsKoFjzjrWoCdn,198973,4,1
