danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0.666,0.899,8,-4.676,1,0.028,0.00155,0,0.0677,0.629,122.05,186267,4,2
0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29E-05,0.382,0.493,142.027,197124,4,6
0.906,0.583,8,-7.721,0,0.317,0.0569,0,0.126,0.829,129.056,292373,4,3
0.435,0.837,3,-8.126,1,0.449,0.00676,0,0.117,0.778,124.913,216893,4,7
0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4,3
0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,182066,4,2
0.676,0.695,0,-8.327,1,0.245,0.352,0,0.119,0.144,90.268,303813,4,10
0.781,0.745,4,-5.81,0,0.0332,0.198,1.14E-05,0.36,0.326,129.998,269493,4,0
0.714,0.833,5,-5.239,1,0.0259,0.00249,0,0.298,0.663,129.964,220920,4,2
0.693,0.549,1,-8.141,1,0.119,0.0109,0,0.0677,0.605,80.028,227960,4,10
0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,270507,4,3
0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4,3
0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987,4,6
0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83E-06,0.396,0.732,71.515,213760,4,2
0.618,0.955,4,-3.836,1,0.0798,0.00221,3.09E-06,0.486,0.79,150.034,179947,4,1
0.72,0.607,1,-4.168,1,0.0322,0.0543,0,0.113,0.828,121.223,201947,4,2
0.81,0.755,0,-6.408,1,0.199,0.291,0,0.0857,0.625,130.991,246573,4,2
0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,220734,4,2
0.767,0.677,11,-6.128,0,0.184,0.0339,5.51E-06,0.144,0.538,146.155,222587,4,3
0.705,0.911,2,-4.873,1,0.0717,0.00592,0.00154,0.0603,0.803,113.032,245080,4,2
0.395,0.922,1,-2.176,1,0.375,0.19,0,0.134,0.558,162.361,257690,4,6
0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,270307,4,8
0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13E-05,0.082,0.762,145.999,215867,4,3
0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,268320,4,2
0.704,0.81,4,-4.874,0,0.0425,0.000315,0,0.216,0.726,102.98,216200,4,3
0.566,0.815,9,-4.481,0,0.14,0.0737,0,0.12,0.672,169.961,185587,4,3
0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,297787,4,6
0.697,0.474,9,-6.663,1,0.0351,0.603,0,0.11,0.249,127.904,196280,4,9
0.694,0.702,9,-5.477,1,0.0946,0.123,0,0.0758,0.308,79.959,212067,4,10
0.782,0.713,0,-6.576,0,0.0899,0.0619,0.00125,0.108,0.68,159.839,218947,4,3
0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,217707,4,0
0.362,0.268,6,-7.757,0,0.0399,0.909,0,0.15,0.394,81.912,243160,4,9
0.558,0.766,6,-5.953,0,0.231,0.263,0,0.32,0.182,96.281,203960,4,0
0.745,0.666,9,-5.899,1,0.0566,0.159,0,0.302,0.708,129.995,241933,4,2
0.662,0.693,3,-4.298,1,0.0698,0.134,0,0.145,0.655,86.009,252120,4,2
0.4,0.915,0,-4.89,1,0.28,0.0846,0,0.0503,0.878,88.917,198773,3,2
0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,218093,4,3
0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,283748,4,3
0.939,0.742,5,-5.171,0,0.0467,0.321,0,0.107,0.924,118.978,212360,4,3
0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,199693,4,3
0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960,4,2
0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,207627,4,7
0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4,3
0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,193467,4,3
0.781,0.853,1,-3.68,0,0.0715,0.0525,0,0.12,0.624,110.049,250189,4,3
