danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.219,0.0153,9,-33.563,0,0.0346,0.994,0.923,0.0934,0.1,57.439,312757,4
0.487,0.00409,11,-38.66,1,0.0612,0.985,0.894,0.0965,0.16,115.369,242811,4
0.263,0.388,7,-11.125,1,0.04,0.266,0.0874,0.0933,0.152,137.852,231732,4
0.283,0.0521,1,-25.091,1,0.0394,0.993,0.892,0.105,0.0561,70.338,336093,3
0.072,0.0538,11,-25.076,0,0.0462,0.974,0.822,0.101,0.0618,68.007,189000,5
0.258,0.0238,0,-28.865,0,0.0428,0.994,0.904,0.106,0.0757,140.596,182647,3
0.398,0.0252,9,-26.613,0,0.0624,0.992,0.914,0.108,0.117,74.696,291319,4
0.506,0.03,5,-26.842,1,0.0629,0.995,0.924,0.13,0.315,72.427,284000,4
0.392,0.501,2,-12.513,1,0.146,0.682,0.909,0.442,0.113,152.481,246760,3
0.184,0.0365,6,-28.57,0,0.0451,0.978,0.000201,0.0691,0.0352,92.433,134929,4
0.206,0.0645,4,-25.162,1,0.0396,0.985,0.894,0.138,0.0398,79.757,205560,4
0.273,0.0721,2,-26.701,1,0.0543,0.956,0.263,0.113,0.1,88.663,173000,5
0.254,0.0681,4,-25.069,0,0.0346,0.971,0.92,0.19,0.0916,100.078,182333,4
0.382,0.49,5,-12.627,1,0.0394,0.816,0.921,0.276,0.241,80.069,290992,3
0.165,0.0239,0,-26.612,0,0.045,0.995,0.922,0.0966,0.0953,66.737,418227,4
0.103,0.0931,0,-20.732,0,0.0405,0.968,0.871,0.149,0.0355,85.638,197200,4
0.39,0.0235,4,-32.271,0,0.0474,0.986,0.954,0.0646,0.189,80.233,108053,1
0.28,0.103,3,-19.187,1,0.0391,0.982,0.958,0.0668,0.153,58.445,203926,4
0.304,0.04,3,-23.131,1,0.0428,0.977,0.895,0.108,0.181,139.544,237480,3
0.354,0.00717,7,-23.13,0,0.0413,0.987,0.671,0.0959,0.116,80.517,212991,4
0.193,0.0656,10,-19.239,1,0.0471,0.995,0.829,0.119,0.0359,128.975,402493,3
0.168,0.00571,8,-36.245,1,0.0404,0.995,0.92,0.068,0.0705,78.043,181693,3
0.151,0.0857,7,-25.567,1,0.0521,0.984,0.0636,0.0899,0.0621,78.785,218107,4
0.266,0.00361,8,-29.735,1,0.052,0.995,0.925,0.0723,0.0631,94.861,160453,4
0.156,0.0645,9,-24.416,1,0.0516,0.993,0.9,0.0757,0.0363,89.281,109493,3
0.213,0.0868,10,-27.444,1,0.0413,0.952,0.907,0.111,0.44,138.349,163733,4
0.152,0.0274,6,-29.234,1,0.0478,0.979,0.895,0.107,0.0398,88.171,300232,4
0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,176518,4
0.106,0.132,10,-15.584,0,0.0531,0.894,0.632,0.127,0.0398,66.638,328894,4
